Doc Id,Contents of file after Preprocessing
cranfield1276,"['three-dimensional', 'linearized', 'analysis', 'forces', 'exerted', 'rigid', 'wing', 'shock', 'wave', 'pressure', 'distribution', 'moving', 'flat', 'plate', 'induced', 'acoustic', 'shock', 'front', 'striking', 'edge', 'plate', 'obliquely', 'found', 'terms', 'two-dimensional', 'solution', 'authors']"
cranfield1044,"['theory', 'thin', 'elastic', 'shells', 'general', 'equations', 'symmetrical', 'finite', 'deflection', 'rotationally', 'symmetric', 'thin', 'shell', 'first', 'obtained', 'small', 'deflections', 'equations', 'reduced', 'pair', 'equations', 'change', 'slope', 'shell', 'surface', 'product', 'undeformed', 'radius', 'shell', 'radial', 'stress', 'choice', 'dependent', 'variable', 'shown', 'advantageous', 'two', 'cases', 'shallow', 'shells', 'give', 'particularly', 'simple', 'solutions', '..', 'parabolic', 'shells', 'nth', 'degree', 'uniform', 'thickness', 'parabolic', 'shells', 'mth', 'degree', 'thickness', 'varying', 'mth', 'power', 'distance', 'apex', 'first', 'case', 'solutions', 'expressed', 'terms', 'cylinder', 'functions', 'second', 'powers', 'paper', 'concludes', 'discussion', 'asymptotic', 'solutions', 'small', 'thickness']"
cranfield0196,"['pressure', 'distributions', 'axially', 'symmetric', 'bodies', 'oblique', 'flow', 'simple', 'picture', 'known', 'work', 'i.', 'lotz', 'flow', 'forward', 'part', 'body', 'revolution', 'oblique', 'flow', 'derived', 'entirely', 'elementary', 'considerations', 'pressure', 'point', 'forward', 'part', 'body', 'angle', 'incidence', 'depends', 'three', 'parameters', 'whose', 'values', 'vary', 'along', 'body', 'variation', 'parameters', 'along', 'body', 'determined', 'relatively', 'small', 'number', 'wind', 'tunnel', 'water', 'tunnel', 'measurements', 'necessary', 'water', 'tunnel', 'measurements', 'made', 'four', 'axially', 'symmetric', 'head', 'shapes', 'additional', 'measurements', 'made', 'illustrate', 'theoretical', 'conclusions', 'data', 'head', 'shape', 'adequate', 'determination', 'pressure', 'coefficient', 'point', 'head', 'shapes', 'angle', 'incidence', '6', 'say', 'particular', 'used', 'determine', 'peak', 'suction', 'angle', 'incidence', 'conditions', 'onset', 'cavitation', 'head']"
cranfield0992,"['effects', 'small', 'jet', 'air', 'exhausting', 'nose', 'body', 'revolution', 'supersonic', 'flow', 'investigation', 'made', 'mach', 'number', '1.62', 'determine', 'effects', 'small', 'jet', 'air', 'exhausting', 'nose', 'elliptical', 'body', 'revolution', 'upon', 'boundary-layer', 'transition', 'viscous', 'pressure', 'total', 'drag', 'forebody', 'three', 'body', 'stations', 'body', 'nose', 'also', 'obtained', 'tests', 'conducted', 'reynolds', 'numbers', '2.13', 'x', '10', '7.66', 'x', '10', 'based', 'body', 'length', 'maximum', 'range', 'thrust', 'coefficients', 'small', 'jet', '0', 'lower', 'test', 'reynolds', 'number', 'boundary', 'layer', 'laminar', 'entire', 'body', 'jet-off', 'condition', 'small', 'flow', 'jet', 'moved', 'point', 'transition', 'forward', 'vicinity', '20-percent-body', 'station', 'jet', 'flow', 'increased', 'transition', 'point', 'moved', 'abruptly', 'nose', 'thrust', 'coefficient', 'gardless', 'type', 'boundary', 'layer', 'higher', 'test', 'reynolds', 'number', 'boundary', 'layer', 'largely', 'turbulent', 'jet-off', 'condition', 'total', 'drag', 'including', 'skin', 'friction', 'reduced', 'somewhat', 'action', 'jet', 'although', 'forward-exhausting', 'small', 'jet', 'found', 'favorable', 'effects', 'upon', 'drag', 'findings', 'believed', 'important', 'since', 'question', 'arises', 'benefits', 'small', 'jet', 'exhausting', 'rear', 'body', 'conventional', 'manner', 'attempt', 'made', 'establish', 'geometric', 'optimums', 'present', 'investigation', 'yet', 'general', 'consideration', 'benefits', 'indicated', 'present', 'results', 'phenomena', 'known', 'occur', 'vicinity', 'rearward-exhausting', 'jets', 'benefits', 'small', 'jet', 'exhausting', 'rearward', 'would', 'appear', 'exceed', 'small', 'jet', 'exhausting', 'forward', 'particularly', 'flow', 'body', 'laminar', 'jet-off', 'condition']"
cranfield0368,"['problems', 'polar', 'missile', 'control', 'polar-controlled', 'missile', 'one', 'manoeuvre', 'carried', 'rotations', 'roll', 'pitch', 'axes', 'manner', 'conventional', 'aeroplane', 'paper', 'discusses', 'problems', 'application', 'form', 'control', 'homing', 'missiles', 'comparison', 'alternative', 'cartesian', 'configuration', 'method', 'presents', 'special', 'design', 'problems', 'former', 'case', 'often', 'possible', 'resolve', 'motion', 'two', 'planes', 'consider', 'pitch', 'yaw', 'control', 'systems', 'independent', 'twodimensional', 'problems', 'simplification', 'possible', 'case', 'polar', 'control', 'usually', 'necessary', 'consider', 'whole', 'three-dimensional', 'system', 'equations', 'motion', 'result', 'general', 'susceptible', 'analysis', 'design', 'control', 'systems', 'requires', 'extensive', 'use', 'simulators']"
cranfield0966,"['fully', 'developed', 'channel', 'flows', 'solutions', 'limitations', 'effects', 'compressibility', 'variable', 'properties', 'body', 'forces', 'examination', 'effects', 'compressibility', 'variable', 'properties', 'body', 'forces', 'fully', 'developed', 'laminar', 'flows', 'indicated', 'several', 'limitations', 'streams', 'absence', 'pressure', 'gradient', 'presence', 'body', 'force', 'liquid', 'follows', 'also', 'case', 'constant', 'streamwise', 'pressure', 'gradient', 'motions', 'exact', 'sense', 'couette', 'flow', 'liquid', 'case', 'two', 'solutions', '/not', 'new', 'result/', 'occur', 'boundary', 'conditions', 'approximate', 'analytic', 'solution', 'found', 'agrees', 'closely', 'machine', 'calculations', 'case', 'approximately', 'exact', 'flows', 'turns', 'large', 'temperature', 'variations', 'across', 'channel', 'effects', 'convection', '/due', 'say', 'wall', 'temperature', 'gradient/', 'frictional', 'heating', 'must', 'negligible', 'case', 'energy', 'momentum', 'equations', 'separated', 'solutions', 'readily', 'obtained', 'temperature', 'variations', 'small', 'convection', 'effects', 'frictional', 'heating', 'consistently', 'considered', 'case', 'becomes', 'constantproperty', 'incompressible', 'case', '/or', 'quasi-incompressible', 'case', 'freeconvection', 'flows/', 'considered', 'many', 'authors', 'finally', 'brief', 'discussion', 'cases', 'wherein', 'streamwise', 'variations', 'quantities', 'allowed', 'form', 'independent', 'variables', 'separable', 'case', 'streamwise', 'velocity', 'varies', 'inversely', 'square', 'root', 'distance', 'along', 'channel', 'solution', 'given']"
cranfield1088,"['iterative', 'methods', 'solving', 'partial', 'difference', 'equations', 'elliptic', 'type', 'paper', 'considers', 'linear', 'systems', '/1/', 'includes', 'matrices', 'sort', 'frequently', 'occurring', 'solution', 'elliptic', 'partial', 'differential', 'equations', 'difference', 'methods', '/in', 'particular', 'o/', 'rewriting', 'superscript', 'number', 'iteration', 'cycle/', 'used', 'compute', 'u', 'u', 'used', 'also', 'one', 'may', '/over-relax/', '..', 'ser', '210', '307-357', '/1910/', 'suggested', 'changing', 'time', 'time', 'speed', 'convergence', 'present', 'paper', 'over-relaxation', '/with', 'fixed', 'w/', 'combined', 'immediate', 'introduction', 'newly-computed', 'u', ""'s"", 'la', 'gauss-seidel', 'various', 'theorems', 'convergence', 'proved', 'particular', 'shown', 'exists', 'ordering', 'equations', 'optimum', 'value', 'wb', 'general', '/3/', 'converges', 'much', 'rapidly', 'gauss-seidel', 'method', '/w', '1/', 'means', 'suggested', 'estimating', 'wb', 'sensitivity', 'rate', 'convergence', 'choice', 'w', 'studied', 'paper', 'concludes', 'theoretical', 'comparison', 'gauss-seidel', 'method', 'proposed', '/successive', 'over-relaxation/', 'solving', 'dirichlet', ""'s"", 'difference', 'problem', 'square', 'using', 'high-speed', 'computing', 'machine']"
cranfield1043,"['transverse', 'vibrations', 'thin', 'shallow', 'elastic', 'shells', 'numerical', 'analysis', 'given', 'solution', 'general', 'equations', 'thin', 'shells', 'revolution', 'subjected', 'rotationally', 'symmetric', 'pressure', 'temperature', 'distributions', 'basic', 'differential', 'equations', 'general', 'form', 'permits', 'geometry', 'shells', 'considered', 'specified', 'discrete', 'data', 'points', 'analysis', 'determines', 'elastic', 'stresses', 'strains', 'displacements', 'multi-layer', 'multi-sectional', 'shells', 'revolution', 'surface', 'loads', 'temperatures', 'thicknesses', 'material', 'properties', 'may', 'vary', 'arbitrarily', 'meridional', 'direction', 'temperatures', 'material', 'properties', 'also', 'vary', 'thickness', 'solution', 'obtained', 'direct', 'computation', 'using', 'numerical', 'method', 'employs', 'two', 'two', 'coefficient', 'matrices', 'hence', 'avoids', 'problems', 'slow', 'convergence', 'solution', 'programmed', 'semi-algebraic', 'language', 'used', 'high', 'speed', 'computers', 'comparisons', 'numerical', 'solutions', 'known', 'exact', 'approximate', 'solutions', 'thin', 'shell', 'equations', 'made', 'demonstrate', 'accuracy', 'method']"
cranfield0191,"['theory', 'core', 'leading', 'edge', 'vortex', 'flow', 'past', 'slender', 'delta', 'wing', 'incidence', 'observed', 'roughly', 'axially', 'symmetric', 'core', 'spiralling', 'fluid', 'formed', 'rolling', 'shear', 'layer', 'separates', 'leading', 'edge', 'aim', 'report', 'predict', 'flow', 'field', 'within', 'vortex', 'core', 'given', 'appropriate', 'conditions', 'outside', 'edge', 'basic', 'assumptions', 'core', 'addition', 'assumed', 'flow', 'axially', 'symmetric', 'incompressible', 'together', 'admit', 'outer', 'inner', 'solutions', 'core', 'equations', 'motion', 'outer', 'solution', 'sub-core', 'ignored', 'flow', 'taken', 'inviscid', 'rotational', 'conical', 'resulting', 'solution', 'consists', 'simple', 'expressions', 'velocity', 'components', 'pressure', 'inner', 'solution', 'applies', 'diffusive', 'sub-core', 'flow', 'taken', 'laminar', 'approximations', 'based', 'boundary', 'conditions', 'analogous', 'boundary', 'layer', 'theory', 'made', 'solution', 'obtained', 'case', 'first', 'approximation', 'presented', 'tabular', 'form', 'sample', 'calculation', 'yields', 'results', 'good', 'qualitative', 'fair', 'quantitative', 'agreement', 'experimental', 'measurements']"
cranfield1271,"['theory', 'supersonic', 'propeller', 'aerodynamics', 'supersonic', 'propeller', 'blades', 'attached', 'infinite', 'cylinder', 'hub', 'studied', 'forward', 'speed', 'may', 'subsonic', 'relative', 'speed', 'section', 'supersonic', 'lightly', 'loaded', 'blades', 'represented', 'surface', 'distribution', 'appropriate', '/modified/', 'sources', 'fashion', 'similar', 'ordinary', 'supersonic', 'thin-wing', 'theory', 'sources', 'found', 'approximating', 'exact', 'potential', 'constant-strength', 'compressible', 'source', 'traveling', 'along', 'helical', 'path', 'usual', 'relationship', 'source', 'strength', 'boundary', 'condition', 'found', 'subsequently', 'source', 'distribution', 'given', 'appropriate', 'order', 'terms', 'blade', 'geometry', 'tip', 'effects', 'considered', 'extending', 'theory', 'evvard', 'krasilshchikova', 'present', 'investigation', 'however', 'restricted', 'planforms', 'vortex', 'sheet', 'appears', 'tip', 'points', 'tip', 'region', 'potential', 'obtained', 'appropriate', 'distribution', '/modified/', 'sources', 'upwash', 'region', 'tip', 'transforming', 'curvilinear', 'nonorthogonal', 'coordinate', 'system', 'coincident', 'modified', 'mach', 'lines', 'described', 'infinities', 'potential', 'integral', 'equation', 'required', 'source', 'distribution', 'upwash', 'region', 'derived', 'without', 'solve', 'equation', 'shown', 'potential', 'point', 'tip', 'region', 'obtained', 'terms', 'integration', 'known', 'source', 'distributions', 'blade', 'surface', 'case', 'twisted', 'flat', 'plate', 'particular', 'planform', 'treated', 'sample', 'calculation', 'made', 'pressure', 'distribution', 'selected', 'radial', 'positions', 'within', 'noncommunicating', 'portion', 'blade', 'well', 'entire', 'tip', 'region', 'though', 'analysis', 'carried', 'explicitly', 'supersonic', 'propeller', 'could', 'also', 'extended', 'calculate', 'various', 'rotary', 'derivatives', 'highspeed', 'flight', 'vehicles']"
cranfield0959,"['heat', 'transfer', 'separated', 'flows', 'results', 'experimental', 'heat-transfer', 'investigation', 'regions', 'separated', 'flow', 'presented', 'compared', 'theoretical', 'analysis', 'naca', 'tn', '3792', 'average', 'heat', 'transfer', 'laminar', 'turbulent', 'separated', 'boundary', 'layers', 'found', '35', '50', 'per', 'cent', 'less', 'equivalent', 'attached', 'boundary', 'layers', 'overall', 'scope', 'measurements', 'included', 'mach', 'numbers', '0.3', '4.0', 'reynolds', 'numbers', '10', '4', 'x', '10', 'results', 'laminar', 'boundary', 'layers', 'agree', 'well', 'analysis', 'tn', '3792', 'results', 'turbulent', 'boundary', 'layers', 'however', 'disagree', 'considerably', 'results', 'velocity', 'temperature', 'surveys', 'separated', 'turbulent', 'boundary', 'layer', 'presented', 'partially', 'explain', 'discrepancy', 'experiments', 'analysis', 'maximum', 'local', 'heat-transfer', 'rates', 'found', 'occur', 'reattachment', 'region', 'separated', 'boundary', 'layers', 'investigated', 'effect', 'transition', 'heat', 'transfer', 'separated', 'laminar', 'boundary', 'layers', 'described', 'data', 'showing', 'effects', 'mach', 'number', 'wall', 'temperature', 'transition', 'reynolds', 'number', 'separated', 'laminar', 'flows', 'also', 'included']"
cranfield0165,"['skin-friction', 'measurements', 'incompressible', 'flow', 'experiments', 'conducted', 'measure', 'incompressible', 'flow', 'local', 'surface-shear', 'stress', 'average', 'skin-friction', 'coefficient', 'turbulent', 'boundary-layer', 'smooth', 'flat', 'plate', 'zero', 'pressure', 'gradient', 'local', 'surface-shear', 'stress', 'measured', 'floating-element', 'skinfriction', 'balance', 'also', 'calibrated', 'total', 'head', 'tube', 'located', 'surface', 'test', 'wall', 'average', 'skin-friction', 'coefficient', 'obtained', 'boundary-layer', 'velocity', 'profiles', 'boundary-layer', 'profiles', 'also', 'used', 'determine', 'location', 'virtual', 'origin', 'turbulent', 'boundary', 'layer', 'data', 'obtainec', 'range', 'reynolds', 'numbers', '1', 'million', '45', 'million', 'attendant', 'change', 'mach', 'number', '0.11', '0.32', 'measured', 'local', 'skin-friction', 'coefficients', 'obtained', 'floating-element', 'balance', 'agree', 'well', 'schultz-grunow', 'kempf', 'reynolds', 'numbers', '45', 'million', 'measured', 'average', 'skin-friction', 'coefficients', 'agree', 'given', 'schoenherr', 'curve', 'ranges', 'reynolds', 'numbers', '1', '3', 'million', '30', '45', 'million', 'range', 'reynolds', 'numbers', '3', '30', 'million', 'measured', 'values', 'less', 'predicted', 'schoenherr', 'curve', 'results', 'show', '/univeral', 'skin-friction', 'constants/', 'proposed', 'coles', 'appraoch', 'asymptotically', 'constant', 'value', 'reynolds', 'numbers', 'exceeding', 'mentioned', 'constants', 'limited', 'reynolds', 'number', 'range', 'present', 'investigation', 'doubt', 'validity', 'turbulent', 'skin-friction', 'law', 'written', 'basis', 'present', 'results', 'hence', 'new', 'friction', 'law', 'proposed', 'frictional', 'resistance', 'flat', 'plate', 'calculated', 'means', 'momentum', 'method', 'also', 'integrated', 'measured', 'local', 'surface', 'shear', 'reynolds', 'numbers', '14', 'million', '45', 'million', 'methods', 'give', 'result', 'whereas', 'lower', 'values', 'reynolds', 'number', 'momentum', 'method', 'based', 'velocity', 'profiles', 'uncorrected', 'effects', 'turbulence', 'results', 'frictional', 'resistance', 'much', '4', 'percent', 'higher', 'integrated', 'shear', 'measurement', 'local', 'surface', 'shear', 'calibrated', 'preston', 'tube', 'appears', 'accurate', 'inexpensive', 'calibration', 'given', 'preston', 'must', 'modified', 'slighlty', 'however', 'yield', 'results', 'obtained', 'floating-element', 'skin-friction', 'balance']"
cranfield1285,"['experiments', 'hypersonic', 'speeds', 'circular', 'cones', 'incidence', 'pressure', 'distribution', 'measurements', 'five', 'circular', 'cones', 'total', 'apex-angles', 'ranging', '25', '45', 'degrees', 'described', 'tests', 'covered', 'range', 'angles', 'incidence', '0', '8.60', 'extent', 'various', 'analytical', 'empirical', 'theories', 'predict', 'measured', 'pressures', 'assessed']"
cranfield0357,"['optimum', 'nose', 'shapes', 'missiles', 'super-aerodynamic', 'region', 'mechanics', 'kinetic', 'theory', 'gases', 'employed', 'describe', 'drag', 'force', 'nose', 'missile', 'moving', 'superaerodynamic', 'region', 'atmosphere', 'three', 'separate', 'cases', 'considered', '--', 'ideal', 'specular', 'reflection', 'specular-type', 'reflection', 'slightly', 'rough', 'surface', 'surface', 'absorption', 'followed', 'random', 'emission', 'striking', 'molecules', 'calculus', 'variations', 'employed', 'obtain', 'differential', 'equation', 'nose', 'shape', 'minimizes', 'drag', 'force', 'three', 'cases', 'resulting', 'differential', 'equations', 'solved', 'numerical', 'procedure', 'drag', 'coefficients', 'optimum', 'nose', 'shapes', 'likewise', 'determined', 'compared', 'drag', 'coefficients', 'given', 'nose', 'shapes', 'shown', 'drag', 'coefficients', 'arising', 'specular-type', 'reflections', 'occur', 'significantly', 'dependent', 'nose', 'shape', 'surface', 'absorption', 'followed', 'random', 'emission', 'occurs', 'drag', 'coefficient', 'strongly', 'dependent', 'either', 'missile', 'nose', 'shape', 'fineness', 'ratio', 'nose']"
cranfield0733,"['bending', 'sectorial', 'plate', 'problem', 'evaluating', 'bending', 'moments', 'existing', 'uniformly', 'loaded', 'clamped', 'plate', 'form', 'sector', 'ring', 'one', 'arises', 'connection', 'stress', 'analysis', 'reinforced', 'piston', 'heads', 'design', 'problems', 'paper', 'expressions', 'derived', 'bending', 'moments', 'along', 'edges', 'plate', 'similar', 'problems', 'i.e.', 'clamped', 'rectangular', 'plate', 'uniform', 'pressure', 'central', 'concentrated', 'load', 'simply', 'supported', 'sector', 'disk', 'uniform', 'pressure', 'discussed', 'previous', 'authors', 'general', 'approach', 'used', 'foregoing', 'problems', 'adopted', 'present', 'case', 'considerable', 'reduction', 'computational', 'work', 'achieved', 'however', 'use', 'integral-equation', 'method', 'solving', 'boundary-condition', 'equations', 'numerical', 'results', 'obtained', 'plates', 'various', 'dimensions', 'edge', 'moment', 'distributions', 'plotted', 'cases', 'curves', 'also', 'plotted', 'indicate', 'relationship', 'existing', 'maximum', 'bending', 'moments', 'derived', 'sectorial', 'plates', 'previously', 'obtained', 'clamped', 'rectangular', 'plates', 'similar', 'size']"
cranfield0501,"['stagnation-point', 'shock', 'detachment', 'blunt', 'bodies', 'supersonic', 'flow', 'presentation', 'stagnation-point', 'shock-detachment', 'distances', 'determined', 'exact', 'numerical', 'method', 'gravalos', 'edelfelt', 'emmons', 'results', 'compared', 'previously', 'published', 'methods', 'van', 'dyke', 'gordon', 'li', 'geiger', 'serbin', 'experimental', 'data']"
cranfield1278,"['transition', 'separated', 'laminar', 'boundary', 'layer', 'transition', 'turbulence', 'studied', 'separated', 'laminar', 'boundary', 'layer', 'flat', 'plate', '24', 'long', 'thick', 'steps', 'height', 'provided', 'distance', '4', 'transition', 'observed', 'hot-wire', 'anemometer', 'author', 'concludes', 'transition', 'always', 'initiated', 'tollmienschlichting', 'waves', 'two', 'types', 'transition', 'observed', 'one', 'type', 'bursts', 'suddenly', 'appeared', 'wavy', 'flow', 'type', 'consists', 'amplification', 'distortion', 'breaking', 'waves', 'type', 'transition', 'occurs', 'depends', 'value', 'following', 'parameter', '..', 'boundary-layer', 'displacement', 'thickness', 'times', 'step', 'height', 'times', 'free-stream', 'velocity', 'squared', 'divided', 'kinematic', 'velocity', 'squared', 'burst', 'type', 'observed', 'values', 'parameter', 'larger', '4.2', 'x', '10', 'separated', 'laminar', 'boundary', 'layer', 'becomes', 'unstable', 'develops', 'waves', 'critical', 'reynolds', 'number', 'based', 'boundary-layer', 'displacement', 'thickness', 'step', 'location', 'exceeds', 'value', '350', 'conclusions', 'development', 'separation', 'bubbles', 'air', 'foils', 'drawn', 'present', 'studies']"
cranfield0198,"['investigation', 'systematic', 'group', 'naca', '1', 'series', 'cowlings', 'without', 'spinners', 'investigation', 'conducted', 'langley', 'propellerresearch', 'tunnel', 'study', 'cowling-spinner', 'combinations', 'based', 'naca', '1-series', 'nose', 'inlets', 'obtain', 'systematic', 'design', 'data', 'one', 'family', 'approximately', 'ellipsoidal', 'spinners', 'main', 'part', 'investigation', '11', 'related', 'spinners', 'tested', 'various', 'combinations', '9', 'naca', 'open-nose', 'cowlings', 'also', 'tested', 'without', 'spinners', 'effects', 'location', 'shape', 'spinner', 'shape', 'inner', 'surface', 'cowling', 'lip', 'operation', 'propeller', 'approximately', 'oval', 'shanks', 'investigated', 'briefly', 'addition', 'study', 'conducted', 'determine', 'correct', 'procedure', 'extrapolating', 'design', 'conditions', 'determined', 'low-speed', 'test', 'data', 'design', 'conditions', 'actual', 'flight', 'mach', 'number', 'design', 'conditions', 'naca', '1-series', 'cowlings', 'cowling-spinner', 'combinations', 'presented', 'form', 'charts', 'wide', 'ranges', 'spinner', 'proportions', 'rates', 'internal', 'flow', 'cowlings', 'near-maximum', 'pressure', 'recovery', 'selected', 'critical', 'mach', 'numbers', 'ranging', 'spinners', 'effects', 'spinners', 'propeller', 'cowling', 'design', 'conditions', 'presented', 'separately', 'provide', 'initial', 'quantitative', 'data', 'use', 'general', 'design', 'procedure', 'naca', '1-series', 'cowlings', 'selected', 'use', 'spinners', 'shapes', 'use', 'general', 'design', 'procedure', 'correlation', 'curves', 'established', 'test', 'data', 'derived', 'compressible-flow', 'equations', 'relating', 'inlet-velocity', 'ratio', 'surface', 'pressures', 'cowling', 'spinner', 'naca', '1-series', 'cowlings', 'cowling-spinner', 'combinations', 'designed', 'critical', 'mach', 'numbers', 'high', '0.90']"
cranfield0950,"['comparison', 'theoretical', 'experimental', 'creep', 'buckling', 'times', 'initially', 'straight', 'centrally', 'loaded', 'columns', 'creep-buckling', 'times', 'initially', 'straight', 'centrally', 'loaded', 'columns', 'predicted', 'hypotheses', 'shanley', 'gerard', 'rabotnov', 'shesterikov', 'compared', 'appropriate', 'experimental', 'data', 'found', 'theoretical', 'predictions', 'generally', 'conservative', 'due', 'possibly', 'fact', 'hypotheses', 'predict', 'initial', 'instability', 'times', 'experiments', 'normally', 'record', 'final', 'collapse', 'times', 'three', 'hypotheses', 'gerard', 'generally', 'gives', 'predictions', 'agree', 'best', 'experimental', 'data']"
cranfield0508,"['correlation', 'nose-bluntness', 'induced', 'pressures', 'cylindrical', 'conical', 'after-bodies', 'hypersonic', 'speeds', 'van', 'hise', 'detailed', 'study', 'nose-bluntness-induced', 'pressures', 'cylindrical', 'afterbodies', 'shows', 'starting', 'nose', 'diameters', 'aft', 'nose-afterbody', 'junction', 'pressures', 'correlated', 'parameter', 'predicted', 'blast-wave', 'analogy', 'chernyi', 'developed', 'modified', 'form', 'blast-wave', 'analogy', 'takes', 'account', 'addition', 'energy', 'flow', 'thin', 'afterbody', 'showed', 'thin', 'afterbodies', 'hypersonic', 'speeds', 'pressure', 'distribution', 'plotted', 'correlate', 'parameter', 'purpose', 'note', 'show', 'correlation', 'techniques', 'may', 'combined', 'form', 'pressures', 'cylindrical', 'conical', 'afterbodies', 'correlated', 'one', 'parameter']"
cranfield1075,"['experimental', 'theoretical', 'investigation', 'second-order', 'supersonic', 'wing-body', 'interference', 'non-lifting', 'body', 'wings', 'incidence', 'pressure', 'distributions', 'wing', 'two', 'wing-body', 'combinations', 'measured', 'experimentally', 'mach', 'numbers', '3', '4', 'wing', 'various', 'incidences', 'range', '0degree', '10degree', 'results', 'compared', 'theoretical', 'results', 'include', 'interference', 'effects', 'calculated', 'according', 'second-order', 'supersonic', 'wing-body', 'interference', 'theory', 'due', 'landahl', 'beane', '/1/', 'theory', 'tested', 'previously', 'non-lifting', 'wing-body', 'combinations', 'thus', 'tested', 'also', 'wings', 'incidence', 'agreement', 'theory', 'experiment', 'found', 'vary', 'mach', 'number', 'wing', 'sweepback', 'higher', 'mach', 'number', 'moderate', 'sweepback', 'theory', 'gives', 'good', 'prediction', 'pressure', 'distribution', 'adverse', 'condition', 'low', 'mach', 'number', 'large', 'sweepback', 'theory', 'found', 'overestimate', 'interference', 'effects', 'expected', 'theory', 'assumes', 'sweepback', 'wings', 'small', 'compared', 'mach', 'line', 'empirical', 'guide', 'limit', 'application', 'interference', 'theory', 'given', 'within', 'limit', 'agreement', 'theory', 'experiment', 'found', 'deteriorate', 'little', 'increase', 'incidence', 'range', 'tested']"
cranfield0395,"['new', 'methods', 'heat', 'flow', 'analysis', 'application', 'flight', 'structures', 'new', 'methods', 'presented', 'analysis', 'transient', 'heat', 'flow', 'complex', 'structures', 'leading', 'drastic', 'simplifications', 'calculation', 'possibility', 'including', 'nonlinear', 'surface', 'effects', 'methods', 'part', 'direct', 'application', 'general', 'variational', 'principles', 'developed', 'earlier', 'linear', 'thermodynamics', 'developed', 'particular', 'case', 'purely', 'thermal', 'problems', 'include', 'surface', 'boundary-layer', 'heat', 'transfer', 'nonlinear', 'systems', 'temperature-dependent', 'parameters', 'radiation', 'concepts', 'thermal', 'potential', 'dissipation', 'function', 'generalized', 'thermal', 'force', 'introduced', 'leading', 'ordinary', 'differential', 'equations', 'lagrangian', 'type', 'thermal', 'flow', 'field', 'particular', 'nature', 'heat', 'flow', 'phenomena', 'compared', 'dynamics', 'suitable', 'procedures', 'must', 'developed', 'order', 'formulate', 'problem', 'simplest', 'way', 'done', 'treating', 'number', 'examples', 'concepts', 'penetration', 'depth', 'transit', 'time', 'introduced', 'discussed', 'connection', 'onedimensional', 'flow', 'application', 'general', 'method', 'heating', 'slab', 'temperature-dependent', 'heat', 'capacity', 'shows', 'substantial', 'difference', 'heating', 'cooling', 'processes', 'example', 'heat', 'flow', 'analysis', 'supersonic', 'wing', 'structure', 'present', 'method', 'also', 'given', 'requires', 'extremely', 'simple', 'calculations', 'results', 'found', 'good', 'agreement', 'obtained', 'classical', 'much', 'elaborate', 'procedures']"
cranfield1247,"['supersonic', 'boom', 'projectile', 'related', 'drag', 'volume', 'whitham', 'theory', 'predicting', 'far-flow', 'field', 'around', 'projectile', 'used', 'derive', 'body', 'shapes', 'produce', 'extreme', 'bow', 'shock-wave', 'pressure', 'jump', '/boom', 'subject', 'constraining', 'conditions', 'regarding', 'drag', 'due', 'bow', 'shock', 'fineness', 'ratio', 'bodies', 'found', 'minimum', 'drag', 'body', 'also', 'minimum', 'boom', 'body', 'body-volume', 'effect', 'effect', 'discontinuities', 'slope', 'body', 'meridian', 'section', 'boom', 'intensity', 'investigated', 'general', 'result', 'investigation', 'said', 'boom', 'projectile', 'given', 'mach', 'number', 'flight', 'altitude', 'primarily', 'determined', 'length', 'fineness', 'ratio', 'maximum', 'variation', 'boom', 'intensity', 'pointed', 'bodies', 'given', 'length', 'fineness', 'ratio', 'order', '10', 'per', 'cent', 'geometry', 'bodies', 'thus', 'found', 'play', 'minor', 'role']"
cranfield0705,"['kernel', 'function', 'integral', 'equation', 'relating', 'lift', 'downwash', 'distributions', 'oscillating', 'finite', 'wings', 'subsonic', 'flow', 'report', 'treats', 'kernel', 'function', 'integral', 'equation', 'relates', 'known', 'prescribed', 'downwash', 'distribution', 'unknown', 'lift', 'distribution', 'harmonically', 'oscillating', 'finite', 'wing', 'compressible', 'subsonic', 'flow', 'kernel', 'function', 'reduced', 'form', 'accurately', 'evaluated', 'separating', 'kernel', 'function', 'two', 'parts', '..', 'part', 'singularities', 'isolated', 'analytically', 'expressed', 'nonsingular', 'part', 'may', 'tabulated', 'form', 'kernel', 'function', 'sonic', 'case', '/mach', 'number', '1/', 'treated', 'separately', 'addition', 'results', 'special', 'cases', 'mach', 'number', '/incompressible', 'case/', 'frequency', '/steady', 'case/', 'given', 'derivation', 'integral', 'equation', 'involves', 'kernel', 'function', 'originally', 'performed', 'elsewhere', '/see', 'example', 'naca', 'technical', 'memorandum', '979/', 'reproduced', 'appendix', 'another', 'appendix', 'gives', 'reduction', 'form', 'kernel', 'function', 'obtained', 'herein', 'three-dimensional', 'case', 'known', 'result', 'possio', 'twodimensional', 'flow', 'third', 'appendix', 'contains', 'remarks', 'evaluation', 'kernel', 'function', 'fourth', 'appendix', 'presents', 'alternate', 'form', 'expression', 'kernel', 'function']"
